item_id,item_score,beta
SN00003D,4,-0.178890194789955
SN00038,6,-0.269643346669193
SW00090D,2,-0.0680116239752893
IP00074,2,-0.453428613075706
GR00148,2,-0.3567579997677
RD516087,3,-0.204058289527893
RD516456,4,-0.220658093690872
RD516A28,4,-0.11199202388525
RD516663,6,0.044200673699379
RD516375,3,-0.293698072433472
BL00518,6,0.0945529043674469
BL00519,4,-0.0106464028358459
BL00520,7,0.0617771036922932
BL00521,6,-0.0229421649128199
BL02412,3,0.322595179080963
OP00142,6,-0.242503598332405
SN00174,4,-0.171407128666704
SN00145,5,-0.299242169591446
SW00138,4,-0.213425235729244
SW00280,4,-0.264919893707625
IP00079,3,-0.00221118587530813
IP00113,3,-0.128537986250407
GR00099,4,0.0540816869776926
GR00105,3,-0.0578927473584457
RD516537,4,-0.596417129039764
RD516B02,5,-0.281809687614441
RD516620,4,-0.127959921956062
RD516A04,4,0.0284409839659929
RD516686,5,-0.12281034886837
RD516538,3,-0.490682154893875
RD516160,4,-0.0114040588960052
RD516734,6,-0.0609434768557549
RD516751,4,-0.12841372191906
RD517839,3,-0.320870041847229
BL00474D,8,0.109941147267818
BL01339,3,-0.314242988824844
BL00341,3,-0.256127744913101
BL00342,2,-0.0759566575288773
OP00155,7,0.118588872253895
OP00204,2,0.177067205309868
OP00078,5,-0.10578303784132
SN00204,3,-0.066040836351676
SN00252,4,-0.031285208026635
SW00127,3,-0.00380236632570714
SW00306,4,0.0405204696731236
IP00115,3,-0.219951299968402
IP00112,2,0.271429857212504
GR00139,2,0.632447592372925
GR00126,4,0.0521232686089177
RD516670,3,0.138904437422752
RD516979,4,-0.03827665746212
RD516100,5,0.278469920158386
RD516339,3,0.0705283284187317
RD516838,3,0.205307319760323
RD516830,4,0.244661808013916
RD516209,4,0.392282336950302
RD516471,3,0.106351688504219
RD516138,4,0.343298047780991
RD516770,3,0.118753328919411
BL02451D,5,0.0653367415070534
BL02452D,3,0.245700284838676
BL22453D,7,0.28418031334877
BL02454D,2,-0.400133490562439
OP00089,2,-0.553712069988251
OP00147,4,0.301252096891403
OP00258,3,-0.204081252217293
SN00135,4,-0.183645040920697
SN00142,6,-0.215837715674545
SW00706D,4,-0.35722392080296
SW00136,3,-0.28613023922278
IP00134,4,-0.0767555873322304
IP00104,4,0.000820687232958312
GR00315,4,0.014819248013819
GR00119,3,-0.0501803955680396
RD516333,5,-0.183834135532379
RD516802,6,-0.10874792188406
RD516704,4,-0.0606078244745731
RD516687,2,-0.21613897383213
RD516B04,5,-0.12737001478672
RD516094,3,-0.200083687901497
RD516933,5,-0.16564904153347
RD516788,5,-0.0456393212080002
RD516731,5,-0.223503217101097
RD516097,4,-0.0368798412382603
RD516404,4,0.0350708849728107
RD516527,5,-0.291983991861343
RD516086,4,-0.285673797130585
BL00383,6,-0.150864198803902
BL00384,6,0.0732357054948807
BL00386,6,-0.21577262878418
SV00440,4,-0.0414833351969719
SV00442,5,-0.18911400437355
SV00443,5,-0.216196551918983
SV00444,5,-0.0533213838934899
OP00188D,3,0.0204295329749584
SN00092D,4,-0.00568003479505281
SN00243,4,-0.386663516697285
SW00750,4,-0.277531158311138
SW00764,3,0.0105298967668443
IP00121,4,0.114818238569841
IP00116,3,-0.145685394740504
GR00333,4,0.302870160704537
GR00147,3,0.248894925086425
RD516966,3,-0.125862523913383
RD516381,5,0.118308797478676
RD516331,4,0.155766829848289
RD516604,4,0.272899508476257
RD516762,5,0.305270999670029
RD516457,4,0.142488166689873
RD516142,5,0.201915204524994
RD516470,4,0.0895110964775085
RD516940,3,0.273245126008987
RD516261,3,0.111711457371712
RD516A80,4,0.0168669298291206
RD516232,4,0.173086032271385
RD516522,4,0.0250256657600403
BL00779,4,-0.0181648060679436
BL00780,4,-0.075737789273262
BL00781,4,0.0162777863442898
SV00142,4,0.325772255659103
SV00143,5,0.067361406981945
SV10144,5,0.204260900616646
SV10146,7,0.0220099110156298
OP00096,4,0.446860074996948
SN00201,4,0.118842965467532
SN00250,3,0.358212342875683
SW00261,3,0.161147184395726
SW02989,4,0.334990756726644
IP00044,5,-0.02785715518347
IP00109,3,0.0968056597319055
GR00067,2,0.596395913756275
GR00143,4,0.656586783951443
RD516141,3,0.163422241806984
RD516014,4,0.309452325105667
RD516067,2,0.554799556732178
RD516194,3,0.290111988782883
RD516137,4,0.407964885234833
RD516203,4,0.52512139081955
RD516896,3,0.352769166231155
RD516065,2,0.314759939908981
RD516251,3,0.461514085531235
RD516109,2,0.0342608466744423
RD516532,3,0.68668407201767
RD516964,3,0.021771440282464
RD516227,3,0.224018841981888
BL00956D,5,0.284822195768356
BL00958D,6,0.31578803062439
BL00729,3,0.550487339496613
SV00160D,4,0.276202708482742
SV00162D,3,0.36774942278862
SV00163D,5,0.124239414930344
SV00164D,3,0.0901589989662171
OP00116B,3,0.503326952457428
RD516494,3,-0.214881867170334
RD516764,6,-0.10669270157814
RD516418,5,-0.0596821494400501
RD516A88,4,-0.126559317111969
RD516609,3,-0.126961350440979
RD516480,6,-0.208597227931023
RD516530,4,-0.13381090760231
RD516377,6,-0.118936583399773
RD516557,5,-0.234742224216461
RD516843,5,-0.309262871742249
RD516390,4,-0.178160890936852
RD516B14,6,-0.198177501559258
RD516417,4,-0.442390233278275
RD516360,3,-0.282768607139587
RD516567,5,-0.0419950261712074
RD516839,4,-0.267213493585587
RD516478,6,0.0725426897406578
RD516398,4,-0.350307583808899
RD516A93,6,-0.151848584413528
RD516B23,5,-0.311131715774536
BL00389,4,-0.117683969438076
BL00390,4,-0.0701331496238708
BL01392,5,-0.0648533627390862
BL00393,3,0.0908632352948189
BL01472,5,-0.142175257205963
BL00470,5,-0.137835964560509
BL00471,6,0.0129671115428209
BL00473,4,0.00668368162587285
SV10128,7,0.056065957993269
SV00129,4,-0.0523635149002075
SV10130,5,-0.105684265494347
SV00131,5,-0.182940006256104
OP00255,6,-0.118144400417805
OP00139,7,0.0574196428060532
OP00199,7,-0.218704044818878
SN00150,3,-0.117770895609336
SN00272,3,-0.445322680360013
SN00359D,4,-0.800766078857908
SW00107,3,-0.102065315447381
SW00026,4,-0.124560934101565
SW00152D,2,-0.505084293535815
SW00158D,4,-0.2530098550992
IP00015,4,-0.143699314430426
IP00123,4,-0.039665050303104
IP00106,5,-0.109122574006884
IP00132,7,-0.105681628017821
GR00369,5,-0.390166116367274
GR00026,4,0.116837274039526
GR00097,3,-0.0691015100844023
GR00111,4,-0.0851122146313315
RD514505,4,-0.014665805734694
RD516713,3,0.0908920094370842
RD516072,4,0.215199142694473
RD516735,1,0.358484357595444
RD516B20,3,0.341873586177826
RD516071,3,0.403946876525879
RD516A26,4,0.151465550065041
RD516700,3,0.0181476641446352
RD516A21,4,-0.0142678944393992
RD516116,3,0.0907263234257698
RD516970,5,0.160793781280518
RD516928,3,0.107866279780865
RD516740,2,0.113502189517021
RD516001,3,0.0911644026637077
RD516851,5,0.154810905456543
RD516079,3,0.344116359949112
RD516737,4,0.189049318432808
RD516708,3,-0.0914616286754608
RD516914,4,-0.0715713575482368
RD516359,3,-0.420373111963272
BL02183D,4,0.0208498053252697
BL01509,3,0.163634523749352
BL00510,4,0.133087918162346
BL00511,4,0.241683006286621
BL00512,3,0.0862144529819489
BL00513,6,0.042205024510622
BL00937D,5,0.00166107958648353
BL00874,5,-0.0692341700196266
SV00393,3,0.101490043103695
SV00394D,6,0.258788734674454
SV00395,3,0.142525479197502
SV00396,5,0.192030042409897
OP00341,5,-0.0323957242071629
OP00150,4,0.119379557669163
OP00228,5,-0.0857784003019333
SN00154,4,-0.220396393837416
SN00172,4,-0.150015857941995
SN00254,4,-0.248219244015572
SW00115,4,0.0178640275225422
SW00119,4,0.0105242037388956
SW00135,3,0.0585273877987459
SW00242,4,0.135158581738821
IP00101,2,0.0220609953979685
IP00135,4,0.0215578062025989
IP00108,3,-0.167324528632042
IP00103,4,-0.0262529869683068
GR00325,4,0.243693667032954
GR00129,4,0.216201923811153
GR00106,4,-0.0731649186389058
GR00131,2,0.23783615098973
RD516175,4,0.202082335948944
RD516026,2,-0.121056608855724
RD516238,3,0.542510747909546
RD516357,2,-0.0565420761704445
RD516196,2,0.755915582180023
RD516154,3,0.626751184463501
RD516219,3,0.350813120603561
RD516438,3,0.465008974075317
RD516229,5,0.280629694461823
RD516715,3,0.504041731357574
RD516338,2,-0.196854621171951
RD516934,2,0.0137996170669794
RD516170,2,0.529578745365143
RD516005,1,-0.472996026277542
RD516916,3,0.424884408712387
RD515133,1,0.237445011734962
RD516247,3,-0.137195080518723
RD516722,2,0.550484180450439
RD516191,3,0.327763020992279
RD516112,4,0.144369199872017
BL00578,3,0.179455772042274
BL00579,3,0.310522079467773
BL00580,6,0.233639284968376
BL00782,2,0.311279952526092
BL00901,3,0.0219712480902672
BL00902,4,0.0456640459597111
BL00903,4,0.0156141901388764
BL00904,7,0.198377192020416
SV00397,3,0.245910406112671
SV00398,4,0.0448591597378254
SV00399D,2,0.418155699968338
SV00400,4,0.303486883640289
OP00214,3,0.295016944408417
OP00318,5,0.223394066095352
OP00076,3,0.201616123318672
SN00307,3,0.333602446956461
SN00346D,4,0.138141775115089
SN00358D,4,-0.14280174774317
SW00120,3,0.212707588034088
SW00273,3,0.0911314781696853
SW00255,4,0.0957276858626242
SW00277,4,0.0889178856663687
IP00308,3,0.0433216847575629
IP00302,3,0.384206527409001
IP00083,2,0.00809647435220545
IP00065,4,0.00959167296924601
GR00144,4,0.566916262681486
GR01702,3,0.588873016916139
GR00326,1,1.59833606162752
GR00107,4,0.423073828344305
